,Population2010,MHLTH_AdjPrev,Latitude,Longitude,E_GR_AV14,E_GR_AT14,SDG_A2G14,SDG_OS15MX,P15,B15,BUCAP15,GDP15_SM,E_WR_T_14,State,INCM_CMI,DEV_CMI,E_BM_NM_LST,Cities in Urban Center_copy
122,399457,15.0,26.17958738,-80.2108039,0.430632245,3027.909465,0.180784627,29.37,5406570.288,2147.19043,397.1446435,210266000000.0,25.10877228,FL,HIC,MDR,Flooded Grasslands and Savannas,Miami; Hialeah; Fort Lauderdale; Kendall; Pompano Beach; Miami Beach; Boca Raton; Palm Beach
123,87779,11.9,26.17958738,-80.2108039,0.430632245,3027.909465,0.180784627,29.37,5406570.288,2147.19043,397.1446435,210266000000.0,25.10877228,FL,HIC,MDR,Flooded Grasslands and Savannas,Miami; Hialeah; Fort Lauderdale; Kendall; Pompano Beach; Miami Beach; Boca Raton; Palm Beach
124,238300,13.6,28.53910259,-81.37360347,0.493299963,969.1388714,0.562889929,53.67,1290483.024,589.9866943,457.1828403,47881277440.0,23.00020027,FL,HIC,MDR,Temperate Coniferous Forests,Orlando; Kissimmee
125,103190,14.8,28.12594571,-80.63085595,0.491700909,448.1900892,0.548907056,51.36,296689.9364,218.8686829,737.7017419,11858050048.0,23.51010466,FL,HIC,MDR,Temperate Coniferous Forests,Palm Bay
126,75180,13.9,29.58187537,-81.18128165,0.541753107,92.82863499,0.879309392,71.08,79468.3693,50.12488937,630.752711,2731035904.0,22.05519867,FL,HIC,MDR,Temperate Coniferous Forests,Palm Coast
127,99845,15.4,26.17958738,-80.2108039,0.430632245,3027.909465,0.180784627,29.37,5406570.288,2147.19043,397.1446435,210266000000.0,25.10877228,FL,HIC,MDR,Flooded Grasslands and Savannas,Miami; Hialeah; Fort Lauderdale; Kendall; Pompano Beach; Miami Beach; Boca Raton; Palm Beach
128,164603,14.1,27.2789459,-80.3656072,0.527817601,87.6048192,0.873741262,78.97,114380.1249,53.16268921,464.7895713,4062191872.0,24.32071161,FL,HIC,MDR,Temperate Coniferous Forests,Port St. Lucie
129,181376,13.4,30.44089044,-84.29721635,0.48238579,36.72873132,0.688630563,72.24,70101.07556,14.56813335,207.8161175,2435344384.0,20.80668497,FL,HIC,MDR,Temperate Coniferous Forests,Tallahassee
130,335709,13.9,27.80797724,-82.70346723,0.486132762,1745.537475,0.503609067,42.89,1996766.554,1175.322021,588.6126343,76110553088.0,23.50172043,FL,HIC,MDR,Temperate Coniferous Forests,Tampa; Saint Petersburg; Clearwater; Brandon; Largo
131,420003,11.7,33.84096954,-84.30090571,0.516512275,1161.300677,0.778825221,75.62,1516952.499,699.6470947,461.2188552,48656035840.0,17.22755289,GA,HIC,MDR,Temperate Broadleaf and Mixed Forests,Atlanta; Sandy Springs; Marietta; Smyrna
